hand	ev	count
AA	2.32	521324
KK	1.67	522652
QQ	1.22	520663
JJ	0.86	521866
AK s	0.78	348364
AQ s	0.59	348759
TT	0.58	520705
AK	0.51	1048008
AJ s	0.44	348126
KQ s	0.39	346772
99	0.38	522454
AT s	0.32	348013
AQ	0.31	1042962
KJ s	0.29	346582
88	0.25	521972
QJ s	0.23	348870
KT s	0.20	348774
A9 s	0.19	348992
AJ	0.19	1045857
QT s	0.17	346115
KQ	0.16	1045069
77	0.16	524345
JT s	0.15	348235
A8 s	0.10	349431
K9 s	0.09	348286
AT	0.08	1047289
A5 s	0.08	348544
A7s	0.08	349949
KJ	0.08	1047098
66	0.07	520946
T9 s	0.05	348264
A4 s	0.05	347862
Q9 s	0.05	348760
J9 s	0.04	349965
QJ	0.03	1044338
A6 s	0.03	347677
55	0.02	521945
A3 s	0.02	347895
K8 s	0.01	350401
KT	0.01	1045392
98 s	0.00	348759
T8 s	-0.00	347443
K7 s	-0.00	348341
A2 s	0.00	347318
87 s	-0.02	348348
QT	-0.02	1047827
Q8 s	-0.02	348381
44	-0.03	523398
A9	-0.03	1047672
J8 s	-0.03	348046
76 s	-0.03	347540
JT	-0.03	1043812
97 s	-0.04	350158
K6 s	-0.04	347029
K5 s	-0.05	349320
K4 s	-0.05	348681
T7 s	-0.05	347638
Q7 s	-0.06	348073
K9	-0.07	1045630
65 s	-0.07	348590
T9	-0.07	1045306
86 s	-0.07	348374
A8	-0.07	1042209
J7 s	-0.07	345009
33	-0.07	522632
54 s	-0.08	348260
Q6 s	-0.08	349068
K3 s	-0.08	348865
Q9	-0.08	1049468
75 s	-0.09	349781
22	-0.09	524131
J9	-0.09	1044150
64 s	-0.09	349689
Q5 s	-0.09	350110
K2 s	-0.09	349276
96 s	-0.09	349514
Q3 s	-0.10	348009
J8	-0.10	1046506
98	-0.10	1044759
T8	-0.10	1048779
97	-0.10	1046152
A7	-0.10	1046587
T7	-0.10	1044950
Q4 s	-0.10	348979
Q8	-0.11	1048251
J5 s	-0.11	348923
T6	-0.11	1043014
75	-0.11	1047447
J4 s	-0.11	347508
74 s	-0.11	350325
K8	-0.11	1048167
86	-0.11	1047524
53 s	-0.11	346930
K7	-0.11	1043698
63 s	-0.11	346449
J6 s	-0.11	347570
85	-0.11	1048159
T6 s	-0.11	348875
76	-0.11	1046722
A6	-0.12	1046762
T2	-0.12	1047032
95 s	-0.12	348477
84	-0.12	1046266
62	-0.12	1049495
T5 s	-0.12	348928
95	-0.12	1044601
A5	-0.12	1046285
Q7	-0.12	1046099
T5	-0.12	1048428
87	-0.12	1044635
83	-0.12	1048550
65	-0.12	1045971
Q2 s	-0.12	348912
94	-0.12	1047422
74	-0.12	1043278
54	-0.12	1046435
A4	-0.12	1046931
T4	-0.12	1047976
82	-0.12	1043638
64	-0.12	1043079
42	-0.12	1043357
J7	-0.12	1046565
93	-0.12	1045989
85 s	-0.12	347928
73	-0.12	1047020
53	-0.12	1047022
T3	-0.12	1043908
63	-0.12	1044818
K6	-0.12	1045039
J6	-0.12	1045991
96	-0.12	1047156
92	-0.12	1049342
72	-0.12	1046167
52	-0.12	1049213
Q4	-0.13	1045087
K5	-0.13	1047359
J5	-0.13	1047697
43 s	-0.13	348802
Q3	-0.13	1047649
43	-0.13	1047900
K4	-0.13	1046562
J4	-0.13	1048129
T4 s	-0.13	350639
Q6	-0.13	1046958
Q2	-0.13	1046353
J3 s	-0.13	349254
J3	-0.13	1046204
T3 s	-0.13	349673
A3	-0.13	1046970
Q5	-0.13	1047946
J2	-0.13	1045715
84 s	-0.13	349390
82 s	-0.14	348622
42 s	-0.14	350591
93 s	-0.14	348835
73 s	-0.14	349007
K3	-0.14	1045968
J2 s	-0.14	348259
92 s	-0.14	347868
52 s	-0.14	348401
K2	-0.14	1048521
T2 s	-0.14	349612
62 s	-0.14	348033
32	-0.14	1044956
A2	-0.15	1047979
83 s	-0.15	349355
94 s	-0.15	348259
72 s	-0.15	348368
32 s	-0.15	349794
